Date,Close,Dividend,Split
2025-01-29,136.6,0,1
2025-01-30,140.1,0,1
2025-01-31,137.5,0,1
2025-02-03,135.1,0,1
2025-02-04,133.7,0,1
2025-02-05,131.2,0,1
2025-02-06,119.0,10.47,1
2025-02-07,120.5,0,1
2025-02-10,123.2,0,1
2025-02-11,118.4,0,1
2025-02-12,121.3,0,1
2025-02-13,128.9,0,1
2025-02-14,122.5,0,1
2025-02-18,119.0,0,1
2025-02-19,116.7,0,1
2025-02-20,115.9,0,1
2025-02-21,107.1,0,1
2025-02-24,104.0,0,1
2025-02-25,97.3,0,1
2025-02-26,97.8,0,1
2025-02-27,96.2,0,1
2025-02-28,99.3,0,1
2025-03-03,95.2,0,1
2025-03-04,97.9,0,1
2025-03-05,101.7,0,1
2025-03-06,93.6,5.99,1
2025-03-07,95.0,0,1
2025-03-10,79.4,0,1
2025-03-11,84.9,0,1
2025-03-12,85.1,0,1
2025-03-13,78.9,0,1
2025-03-14,81.7,0,1
2025-03-17,83.9,0,1
2025-03-18,81.2,0,1
2025-03-19,84.6,0,1
2025-03-20,85.3,0,1
2025-03-21,85.3,0,1
2025-03-24,89.0,0,1
2025-03-25,89.1,0,1
2025-03-26,85.5,0,1
2025-03-27,83.4,0,1
2025-03-28,77.3,0,1
2025-03-31,76.7,0,1
2025-04-01,77.7,0,1
2025-04-02,80.8,0,1
2025-04-03,72.2,4.38,1
2025-04-04,67.6,0,1
2025-04-07,67.0,0,1
2025-04-08,64.7,0,1
2025-04-09,72.4,0,1
2025-04-10,69.7,0,1
2025-04-11,72.2,0,1
2025-04-14,73.2,0,1
2025-04-15,73.2,0,1
2025-04-16,71.9,0,1
2025-04-17,73.1,0,1
2025-04-21,73.5,0,1
2025-04-22,77.0,0,1
2025-04-23,78.3,0,1
2025-04-24,81.1,0,1
2025-04-25,82.9,0,1
2025-04-28,81.8,0,1
2025-04-29,82.3,0,1
2025-04-30,81.2,0,1
2025-05-01,74.5,6.51,1
2025-05-02,75.8,0,1
2025-05-05,74.3,0,1
2025-05-06,73.5,0,1
2025-05-07,73.2,0,1
2025-05-08,76.5,0,1
2025-05-09,74.9,0,1
2025-05-12,77.3,0,1
2025-05-13,85.7,0,1
2025-05-14,87.7,0,1
2025-05-15,82.4,0,1
2025-05-16,87.6,0,1
2025-05-19,87.6,0,1
2025-05-20,87.5,0,1
2025-05-21,87.0,0,1
2025-05-22,90.3,0,1
2025-05-23,88.8,0,1
2025-05-27,90.2,0,1
2025-05-28,86.7,0,1
2025-05-29,77.5,7.35,1
2025-05-30,77.0,0,1
2025-06-02,77.4,0,1
2025-06-03,80.6,0,1
2025-06-04,80.1,0,1
2025-06-05,77.1,0,1
2025-06-06,79.0,0,1
2025-06-09,80.7,0,1
2025-06-10,80.5,0,1
2025-06-11,79.5,0,1
2025-06-12,76.9,0,1
2025-06-13,77.1,0,1
2025-06-16,81.2,0,1
2025-06-17,79.5,0,1
2025-06-18,87.1,0,1
2025-06-20,89.8,0,1
2025-06-23,90.1,0,1
2025-06-24,96.1,0,1
2025-06-25,98.5,0,1
2025-06-26,96.6,5.35,1
2025-06-27,91.8,0,1
2025-06-30,91.3,0,1
2025-07-01,87.6,0,1
2025-07-02,91.5,0,1
2025-07-03,91.9,0,1
2025-07-07,92.6,0,1
2025-07-08,92.5,0,1
2025-07-09,95.6,0,1
2025-07-10,98.3,0,1
2025-07-11,98.2,0,1
2025-07-14,99.7,0,1
2025-07-15,98.7,0,1
2025-07-16,100.9,0,1
2025-07-17,103.1,0,1
2025-07-18,103.2,0,1
2025-07-21,102.1,0,1
2025-07-22,100.1,0,1
2025-07-23,98.7,0,1
2025-07-24,90.5,7.95,1
2025-07-25,89.9,0,1
2025-07-28,87.3,0,1
2025-07-29,85.6,0,1
2025-07-30,86.9,0,1
2025-07-31,87.1,0,1
2025-08-01,73.0,0,1
2025-08-04,74.1,0,1
2025-08-05,69.8,0,1
2025-08-06,71.0,0,1
2025-08-07,72.5,0,1
2025-08-08,72.6,0,1
2025-08-11,73.8,0,1
2025-08-12,74.7,0,1
2025-08-13,75.1,0,1
2025-08-14,74.7,0,1
2025-08-15,73.5,0,1
2025-08-18,74.6,0,1
2025-08-19,70.7,0,1
2025-08-20,71.3,0,1
2025-08-21,66.9,3.44,1
2025-08-22,70.5,0,1
2025-08-25,68.3,0,1
2025-08-26,69.0,0,1
2025-08-27,69.2,0,1
2025-08-28,69.3,0,1
2025-08-29,68.6,0,1
2025-09-02,68.5,0,1
2025-09-03,68.5,0,1
2025-09-04,69.5,0,1
2025-09-05,68.1,0,1
2025-09-08,68.7,0,1
2025-09-09,71.1,0,1
2025-09-10,70.4,0,1
2025-09-11,71.7,0,1
2025-09-12,71.5,0,1
2025-09-15,72.4,0,1
2025-09-16,72.7,0,1
2025-09-17,71.4,0,1
2025-09-18,70.2,4.52,1
2025-09-19,70.1,0,1
2025-09-22,68.5,0,1
2025-09-23,66.3,0,1
2025-09-24,66.7,0,1
2025-09-25,63.7,0,1
