Date,Close,Dividend,Split
2025-01-29,60.0,0,1
2025-01-30,60.2,0,1
2025-01-31,60.5,0,1
2025-02-03,60.8,0,1
2025-02-04,60.0,0,1
2025-02-05,62.7,0,1
2025-02-06,62.5,0,1
2025-02-07,64.2,0,1
2025-02-10,65.9,0,1
2025-02-11,67.8,0,1
2025-02-12,67.5,0,1
2025-02-13,64.9,0,1
2025-02-14,65.1,0,1
2025-02-18,65.4,0,1
2025-02-19,64.6,0,1
2025-02-20,61.7,3.81,1
2025-02-21,62.9,0,1
2025-02-24,63.8,0,1
2025-02-25,67.6,0,1
2025-02-26,69.2,0,1
2025-02-27,70.5,0,1
2025-02-28,69.2,0,1
2025-03-03,70.7,0,1
2025-03-04,72.9,0,1
2025-03-05,72.1,0,1
2025-03-06,75.0,0,1
2025-03-07,75.6,0,1
2025-03-10,83.7,0,1
2025-03-11,82.3,0,1
2025-03-12,77.7,0,1
2025-03-13,80.0,0,1
2025-03-14,78.0,0,1
2025-03-17,82.2,0,1
2025-03-18,83.6,0,1
2025-03-19,82.6,0,1
2025-03-20,75.9,6.46,1
2025-03-21,73.7,0,1
2025-03-24,64.7,0,1
2025-03-25,62.0,0,1
2025-03-26,66.2,0,1
2025-03-27,66.0,0,1
2025-03-28,69.5,0,1
2025-03-31,70.6,0,1
2025-04-01,68.3,0,1
2025-04-02,65.8,0,1
2025-04-03,68.8,0,1
2025-04-04,73.0,0,1
2025-04-07,75.3,0,1
2025-04-08,77.2,0,1
2025-04-09,66.5,0,1
2025-04-10,72.4,0,1
2025-04-11,72.0,0,1
2025-04-14,72.2,0,1
2025-04-15,72.7,0,1
2025-04-16,76.0,0,1
2025-04-17,70.6,5.62,1
2025-04-21,72.3,0,1
2025-04-22,70.3,0,1
2025-04-23,68.3,0,1
2025-04-24,65.8,0,1
2025-04-25,60.7,0,1
2025-04-28,61.1,0,1
2025-04-29,59.5,0,1
2025-04-30,60.8,0,1
2025-05-01,61.3,0,1
2025-05-02,60.4,0,1
2025-05-05,61.2,0,1
2025-05-06,62.9,0,1
2025-05-07,63.4,0,1
2025-05-08,61.0,0,1
2025-05-09,58.5,0,1
2025-05-12,54.9,0,1
2025-05-13,51.8,0,1
2025-05-14,50.2,0,1
