Date,Close,Dividend,Split
2025-01-29,131.8,0,1
2025-01-30,127.2,5.03,1
2025-01-31,130.0,0,1
2025-02-03,131.4,0,1
2025-02-04,130.61,0,1
2025-02-05,124.9,0,1
2025-02-06,121.75,0,1
2025-02-07,120.3,0,1
2025-02-10,116.9,0,1
2025-02-11,117.99,0,1
2025-02-12,119.7,0,1
2025-02-13,116.19,0,1
2025-02-14,113.5,0,1
2025-02-18,113.0,0,1
2025-02-19,113.9,0,1
2025-02-20,113.4,0,1
2025-02-21,116.3,0,1
2025-02-24,119.7,0,1
2025-02-25,121.8,0,1
2025-02-26,118.3,0,1
2025-02-27,121.5,5.85,1
2025-02-28,119.9,0,1
2025-03-03,126.9,0,1
2025-03-04,125.2,0,1
2025-03-05,123.4,0,1
2025-03-06,130.0,0,1
2025-03-07,128.99,0,1
2025-03-10,133.4,0,1
2025-03-11,132.9,0,1
2025-03-12,126.3,0,1
2025-03-13,126.65,0,1
2025-03-14,121.2,0,1
2025-03-17,123.2,0,1
2025-03-18,127.5,0,1
2025-03-19,126.3,0,1
2025-03-20,124.8,0,1
2025-03-21,126.4,0,1
2025-03-24,123.7,0,1
2025-03-25,123.5,0,1
2025-03-26,129.4,0,1
2025-03-27,124.5,5.85,1
2025-03-28,124.6,0,1
2025-03-31,125.5,0,1
2025-04-01,124.5,0,1
2025-04-02,124.7,0,1
2025-04-03,129.8,0,1
2025-04-04,133.3,0,1
2025-04-07,129.6,0,1
2025-04-08,132.49,0,1
2025-04-09,108.5,0,1
2025-04-10,118.4,0,1
2025-04-11,116.0,0,1
2025-04-14,117.0,0,1
2025-04-15,115.1,0,1
2025-04-16,123.7,0,1
2025-04-17,127.1,0,1
2025-04-21,130.6,0,1
2025-04-22,128.63,0,1
2025-04-23,124.5,0,1
2025-04-24,114.6,6.19,1
2025-04-25,110.0,0,1
2025-04-28,112.0,0,1
2025-04-29,112.2,0,1
2025-04-30,112.7,0,1
2025-05-01,110.0,0,1
2025-05-02,107.1,0,1
2025-05-05,108.5,0,1
2025-05-06,107.8,0,1
2025-05-07,105.0,0,1
2025-05-08,105.7,0,1
2025-05-09,106.0,0,1
2025-05-12,101.4,0,1
2025-05-13,94.9,0,1
2025-05-14,90.5,0,1
2025-05-15,90.6,0,1
2025-05-16,90.9,0,1
2025-05-19,90.9,0,1
2025-05-20,91.55,0,1
2025-05-21,92.8,0,1
2025-05-22,88.7,3.53,1
2025-05-23,89.6,0,1
2025-05-27,87.9,0,1
2025-05-28,87.9,0,1
2025-05-29,85.9,0,1
2025-05-30,86.9,0,1
2025-06-02,86.8,0,1
2025-06-03,85.2,0,1
2025-06-04,84.6,0,1
2025-06-05,86.0,0,1
2025-06-06,84.86,0,1
2025-06-09,84.8,0,1
2025-06-10,84.3,0,1
2025-06-11,84.5,0,1
2025-06-12,83.9,0,1
2025-06-13,85.3,0,1
2025-06-16,84.4,0,1
2025-06-17,84.38,0,1
2025-06-18,83.9,0,1
2025-06-20,81.7,2.92,1
2025-06-23,81.6,0,1
2025-06-24,79.8,0,1
2025-06-25,76.7,0,1
2025-06-26,75.6,0,1
2025-06-27,74.6,0,1
2025-06-30,74.5,0,1
2025-07-01,76.6,0,1
2025-07-02,75.3,0,1
2025-07-03,74.68,0,1
2025-07-07,75.2,0,1
2025-07-08,74.35,0,1
2025-07-09,73.2,0,1
2025-07-10,72.6,0,1
2025-07-11,72.9,0,1
2025-07-14,72.9,0,1
2025-07-15,70.2,0,1
