Date,Close,Dividend,Split
2025-01-29,77.6,0,1
2025-01-30,75.7,0,1
2025-01-31,77.2,0,1
2025-02-03,79.0,0,1
2025-02-04,79.3,0,1
2025-02-05,80.1,0,1
2025-02-06,74.6,5.5,1
2025-02-07,74.0,0,1
2025-02-10,73.4,0,1
2025-02-11,76.3,0,1
2025-02-12,74.5,0,1
2025-02-13,68.9,0,1
2025-02-14,74.7,0,1
2025-02-18,77.1,0,1
2025-02-19,77.9,0,1
2025-02-20,77.8,0,1
2025-02-21,82.1,0,1
2025-02-24,83.1,0,1
2025-02-25,86.5,0,1
2025-02-26,86.0,0,1
2025-02-27,88.5,0,1
2025-02-28,86.3,0,1
2025-03-03,88.6,0,1
2025-03-04,87.4,0,1
2025-03-05,84.8,0,1
2025-03-06,80.2,6.83,1
2025-03-07,78.9,0,1
2025-03-10,88.7,0,1
2025-03-11,85.9,0,1
2025-03-12,85.4,0,1
2025-03-13,90.5,0,1
2025-03-14,89.6,0,1
2025-03-17,87.9,0,1
2025-03-18,91.1,0,1
2025-03-19,87.5,0,1
2025-03-20,87.7,0,1
2025-03-21,88.1,0,1
2025-03-24,82.8,0,1
2025-03-25,82.2,0,1
2025-03-26,86.6,0,1
2025-03-27,89.4,0,1
2025-03-28,94.0,0,1
2025-03-31,95.2,0,1
2025-04-01,94.0,0,1
2025-04-02,91.4,0,1
2025-04-03,86.5,9.24,1
2025-04-04,89.6,0,1
2025-04-07,91.0,0,1
2025-04-08,93.8,0,1
2025-04-09,82.0,0,1
2025-04-10,85.4,0,1
2025-04-11,84.3,0,1
2025-04-14,83.8,0,1
2025-04-15,83.8,0,1
2025-04-16,85.6,0,1
2025-04-17,84.7,0,1
2025-04-21,85.0,0,1
2025-04-22,78.9,0,1
2025-04-23,77.0,0,1
2025-04-24,73.4,0,1
2025-04-25,72.2,0,1
2025-04-28,73.0,0,1
2025-04-29,72.7,0,1
2025-04-30,73.7,0,1
2025-05-01,67.6,5.62,1
2025-05-02,67.0,0,1
2025-05-05,68.4,0,1
2025-05-06,69.2,0,1
2025-05-07,69.2,0,1
2025-05-08,67.1,0,1
2025-05-09,69.2,0,1
2025-05-12,67.8,0,1
2025-05-13,54.7,0,1
2025-05-14,53.1,0,1
2025-05-15,55.6,0,1
2025-05-16,52.3,0,1
2025-05-19,52.8,0,1
2025-05-20,53.0,0,1
2025-05-21,53.4,0,1
2025-05-22,51.6,0,1
2025-05-23,52.9,0,1
2025-05-27,52.9,0,1
2025-05-28,54.3,0,1
2025-05-29,52.1,2.67,1
2025-05-30,52.4,0,1
2025-06-02,52.6,0,1
2025-06-03,50.6,0,1
2025-06-04,51.2,0,1
2025-06-05,52.4,0,1
2025-06-06,51.3,0,1
2025-06-09,50.9,0,1
2025-06-10,51.2,0,1
2025-06-11,51.8,0,1
2025-06-12,52.6,0,1
2025-06-13,52.5,0,1
2025-06-16,48.9,0,1
2025-06-17,50.2,0,1
2025-06-18,42.4,0,1
2025-06-20,41.2,0,1
2025-06-23,41.2,0,1
2025-06-24,37.1,0,1
2025-06-25,36.7,0,1
2025-06-26,32.5,1.54,1
2025-06-27,34.1,0,1
2025-06-30,34.4,0,1
2025-07-01,35.0,0,1
2025-07-02,33.8,0,1
2025-07-03,33.5,0,1
2025-07-07,33.5,0,1
2025-07-08,33.7,0,1
2025-07-09,31.9,0,1
2025-07-10,30.9,0,1
2025-07-11,31.1,0,1
2025-07-14,30.6,0,1
2025-07-15,30.9,0,1
2025-07-16,30.3,0,1
2025-07-17,29.5,0,1
2025-07-18,29.1,0,1
2025-07-21,29.4,0,1
2025-07-22,29.8,0,1
2025-07-23,30.3,0,1
2025-07-24,29.0,1.38,1
2025-07-25,29.4,0,1
2025-07-28,30.1,0,1
2025-07-29,30.7,0,1
2025-07-30,30.2,0,1
2025-07-31,30.2,0,1
2025-08-01,33.3,0,1
2025-08-04,33.2,0,1
2025-08-05,34.5,0,1
2025-08-06,34.1,0,1
2025-08-07,33.5,0,1
2025-08-08,33.5,0,1
2025-08-11,32.9,0,1
2025-08-12,32.7,0,1
2025-08-13,32.3,0,1
2025-08-14,32.4,0,1
2025-08-15,33.1,0,1
2025-08-18,32.9,0,1
2025-08-19,34.4,0,1
2025-08-20,34.2,0,1
2025-08-21,32.0,2.69,1
2025-08-22,30.2,0,1
2025-08-25,31.3,0,1
2025-08-26,31.2,0,1
2025-08-27,31.3,0,1
2025-08-28,31.4,0,1
2025-08-29,31.8,0,1
2025-09-02,31.8,0,1
2025-09-03,32.0,0,1
2025-09-04,31.8,0,1
2025-09-05,32.7,0,1
2025-09-08,32.5,0,1
2025-09-09,31.2,0,1
2025-09-10,31.4,0,1
2025-09-11,30.7,0,1
2025-09-12,30.9,0,1
2025-09-15,30.6,0,1
2025-09-16,30.7,0,1
2025-09-17,31.3,0,1
2025-09-18,27.7,1.9,1
2025-09-19,27.7,0,1
2025-09-22,28.3,0,1
2025-09-23,29.0,0,1
2025-09-24,28.8,0,1
2025-09-25,29.5,0,1
2025-09-26,29.2,0,1
2025-09-29,27.6,0,1
