Date,Open,High,Low,Close,Volume
2026-01-26,29.26,29.95,29.15,29.49,1359884
2026-01-23,29.41,30.73,29.12,29.83,1466900
2026-01-22,29.86,30.01,29.20,29.42,1176200
2026-01-21,29.88,30.66,29.00,30.35,1890300
2026-01-20,30.57,30.65,29.47,29.75,1756600
2026-01-16,31.57,31.93,30.97,31.87,1527800
2026-01-15,32.59,32.59,31.37,31.46,1316100
2026-01-14,32.90,34.70,32.55,32.97,2101600
2026-01-13,30.79,32.22,30.61,32.10,1143200
2026-01-12,29.47,30.73,29.21,30.47,1131700
2026-01-09,31.12,31.22,29.25,29.62,1391700
2026-01-08,30.02,31.69,29.57,31.18,1163100
2026-01-07,31.03,31.99,30.31,30.82,1496700
2026-01-06,31.53,31.58,29.65,30.25,1415100
2026-01-05,31.00,31.67,30.72,31.23,1407900
2026-01-02,29.65,30.69,28.83,30.06,1222700
2025-12-31,30.34,30.42,29.48,29.60,2166500
2025-12-30,30.18,30.77,29.92,30.21,1654400
2025-12-29,30.49,31.23,30.10,30.11,2564200
2025-12-26,30.74,30.75,29.83,30.63,1636400
2025-12-24,30.80,31.16,30.46,31.10,716500
2025-12-23,31.70,31.78,30.71,30.95,1197800
2025-12-22,32.72,32.98,31.97,32.05,1339800
2025-12-19,31.81,32.45,31.46,32.01,1627200
2025-12-18,32.48,32.81,30.66,30.81,1386000
2025-12-17,32.86,33.49,31.56,31.56,1161100
2025-12-16,32.40,33.55,31.82,32.82,1128000
2025-12-15,34.29,34.33,31.53,31.76,1775200
2025-12-12,35.35,35.75,34.24,34.27,1527100
2025-12-11,34.77,35.47,33.28,35.46,5047100
2025-12-10,36.73,36.99,35.73,36.13,4046200
2025-12-09,35.48,37.78,35.26,36.63,2794300
2025-12-08,35.50,36.08,34.90,35.80,1834000
2025-12-05,35.70,35.97,34.47,35.05,2266960
2025-12-04,35.92,36.55,35.45,36.05,2028480
2025-12-03,36.15,37.05,35.50,36.80,1828300
2025-12-02,35.00,36.75,35.00,35.75,1988220
2025-12-01,33.40,34.10,31.10,34.00,3844900
2025-11-28,35.70,36.50,34.65,35.00,1407320
2025-11-26,34.95,36.15,34.25,35.30,2221220
2025-11-25,35.00,35.55,33.70,34.70,1514860
2025-11-24,34.40,36.05,33.45,36.00,2355460
2025-11-21,34.55,35.98,33.30,34.15,2781320
2025-11-20,38.10,38.35,34.26,35.30,2622360
2025-11-19,40.65,40.90,36.87,37.75,2443340
2025-11-18,39.40,42.50,39.40,41.45,2099960
2025-11-17,39.40,40.92,38.25,39.40,3657320
2025-11-14,40.00,41.73,39.05,40.00,3571740
2025-11-13,44.40,44.92,41.35,41.65,2892020
2025-11-12,47.20,47.42,44.60,45.50,1756180
2025-11-11,47.65,48.20,46.70,46.70,1367180
2025-11-10,49.65,49.75,47.30,48.05,1893060
2025-11-07,44.75,48.65,44.25,48.35,2997180
2025-11-06,50.35,50.40,47.25,47.70,2181900
2025-11-05,50.75,51.85,50.33,51.85,1657800
2025-11-04,51.90,52.44,50.00,50.20,2502840
2025-11-03,53.45,54.50,52.70,53.60,2058620
2025-10-31,54.25,55.55,53.13,54.45,2401580
2025-10-30,54.40,54.60,51.25,51.25,2609000
2025-10-29,58.15,58.42,56.20,56.40,1851460
2025-10-28,59.85,60.33,58.13,58.15,1381900
2025-10-27,60.40,60.54,59.55,60.05,1735520
2025-10-24,58.90,59.15,58.17,58.65,1487340
2025-10-23,57.80,58.45,56.55,57.65,1975380
2025-10-22,60.45,61.13,57.22,58.05,2127800
2025-10-21,60.25,62.30,59.95,61.70,1473560
2025-10-20,60.75,62.13,60.25,60.75,1974220
2025-10-17,57.30,59.80,57.15,59.30,2722600
2025-10-16,61.25,61.55,57.85,58.15,2522340
2025-10-15,64.95,65.95,63.15,63.60,1804920
2025-10-14,64.45,66.68,63.60,64.30,1750260
2025-10-13,65.20,67.25,64.21,67.20,1456420
2025-10-10,68.25,68.45,64.50,64.90,2365660
2025-10-09,69.25,69.47,67.35,67.85,1489960
2025-10-08,70.85,70.90,68.10,69.85,1861640
2025-10-07,75.00,75.05,69.31,69.35,1925400
2025-10-06,75.55,75.90,74.25,75.10,1382500
2025-10-03,73.57,74.70,72.38,73.70,1451420
2025-10-02,72.95,73.85,72.25,73.65,1532740
2025-10-01,70.90,72.35,70.90,71.75,1580720
2025-09-30,69.50,70.03,68.90,69.80,1254700
2025-09-29,68.45,70.30,67.93,70.15,2429240
2025-09-26,66.10,67.75,65.37,67.55,2896660
2025-09-25,69.55,69.55,64.13,65.95,3949380
2025-09-24,77.75,78.93,75.85,75.90,2365080
2025-09-23,79.00,79.30,77.00,77.05,1837280
2025-09-22,78.90,79.70,77.11,78.65,1963500
2025-09-19,80.90,81.65,78.70,80.20,1647000
2025-09-18,79.30,82.10,79.25,81.00,2086920
2025-09-17,79.00,79.85,76.75,78.15,1628300
2025-09-16,77.75,79.04,77.05,78.95,1071960
2025-09-15,77.80,78.05,76.03,77.50,1447040
2025-09-12,77.50,78.88,77.35,78.00,1466000
2025-09-11,77.00,77.65,76.18,76.90,1253460
2025-09-10,77.90,79.50,75.85,76.90,1394080
2025-09-09,77.35,77.80,76.30,77.20,1131740
2025-09-08,76.80,77.85,75.50,77.35,1862060
2025-09-05,77.95,78.25,74.85,78.10,1523500
2025-09-04,76.75,77.45,74.22,76.30,2370400
2025-09-03,79.20,79.65,76.30,76.90,1668880
