Date,Close,Dividend,Split
2025-01-30,19.36,0.829,1
2025-01-31,18.83,0,1
2025-02-03,18.32,0,1
2025-02-04,18.7,0,1
2025-02-05,19.6,0,1
2025-02-06,20.08,0,1
2025-02-07,20.29,0,1
2025-02-10,20.71,0,1
2025-02-11,20.64,0,1
2025-02-12,20.6,0,1
2025-02-13,20.95,0,1
2025-02-14,21.29,0,1
2025-02-18,21.42,0,1
2025-02-19,21.49,0,1
2025-02-20,21.67,0,1
2025-02-21,20.99,0,1
2025-02-24,20.4,0,1
2025-02-25,19.88,0,1
2025-02-26,20.61,0,1
2025-02-27,17.51,1.612,1
2025-02-28,18.14,0,1
2025-03-03,16.67,0,1
2025-03-04,16.95,0,1
2025-03-05,17.19,0,1
2025-03-06,16.3,0,1
2025-03-07,16.56,0,1
2025-03-10,15.83,0,1
2025-03-11,16.08,0,1
2025-03-12,16.95,0,1
2025-03-13,17.04,0,1
2025-03-14,17.5,0,1
2025-03-17,17.31,0,1
2025-03-18,16.89,0,1
2025-03-19,17.18,0,1
2025-03-20,17.35,0,1
2025-03-21,17.29,0,1
2025-03-24,17.69,0,1
2025-03-25,17.68,0,1
2025-03-26,16.83,0,1
2025-03-27,15.73,0.787,1
2025-03-28,15.49,0,1
2025-03-31,15.38,0,1
2025-04-01,15.58,0,1
2025-04-02,15.61,0,1
2025-04-03,14.5,0,1
2025-04-04,13.46,0,1
2025-04-07,13.79,0,1
2025-04-08,13.73,0,1
2025-04-09,15.35,0,1
2025-04-10,14.8,0,1
2025-04-11,15.23,0,1
2025-04-14,15.3,0,1
2025-04-15,15.5,0,1
2025-04-16,14.55,0,1
2025-04-17,14.11,0,1
2025-04-21,13.61,0,1
2025-04-22,13.91,0,1
2025-04-23,14.39,0,1
2025-04-24,14.13,0.673,1
2025-04-25,14.43,0,1
2025-04-28,14.27,0,1
2025-04-29,14.34,0,1
2025-04-30,14.38,0,1
2025-05-01,14.68,0,1
2025-05-02,14.96,0,1
2025-05-05,14.91,0,1
2025-05-06,14.92,0,1
2025-05-07,15.26,0,1
2025-05-08,15.36,0,1
2025-05-09,15.33,0,1
2025-05-12,15.86,0,1
2025-05-13,16.32,0,1
2025-05-14,16.83,0,1
2025-05-15,16.77,0,1
2025-05-16,16.84,0,1
2025-05-19,16.93,0,1
2025-05-20,16.86,0,1
2025-05-21,16.52,0,1
2025-05-22,15.05,1.628,1
2025-05-23,14.92,0,1
2025-05-27,15.33,0,1
2025-05-28,15.29,0,1
2025-05-29,15.87,0,1
2025-05-30,15.45,0,1
2025-06-02,15.71,0,1
2025-06-03,15.97,0,1
2025-06-04,16.04,0,1
2025-06-05,15.87,0,1
2025-06-06,16.06,0,1
2025-06-09,16.16,0,1
2025-06-10,16.32,0,1
2025-06-11,16.26,0,1
2025-06-12,16.49,0,1
2025-06-13,16.21,0,1
2025-06-16,16.47,0,1
2025-06-17,16.45,0,1
2025-06-18,16.62,0,1
2025-06-20,15.84,0.672,1
2025-06-23,15.89,0,1
2025-06-24,16.15,0,1
2025-06-25,16.46,0,1
2025-06-26,16.52,0,1
2025-06-27,16.71,0,1
2025-06-30,16.77,0,1
2025-07-01,16.45,0,1
2025-07-02,16.77,0,1
2025-07-03,16.87,0,1
2025-07-07,16.84,0,1
2025-07-08,17.01,0,1
2025-07-09,17.21,0,1
2025-07-10,17.3,0,1
2025-07-11,17.36,0,1
2025-07-14,17.3,0,1
2025-07-15,17.77,0,1
2025-07-16,17.86,0,1
2025-07-17,16.93,1.029,1
2025-07-18,16.89,0,1
2025-07-21,16.83,0,1
2025-07-22,16.43,0,1
2025-07-23,16.79,0,1
2025-07-24,17.09,0,1
2025-07-25,17.08,0,1
2025-07-28,17.33,0,1
2025-07-29,17.26,0,1
2025-07-30,17.5,0,1
2025-07-31,17.4,0,1
2025-08-01,17.06,0,1
2025-08-04,17.59,0,1
2025-08-05,17.48,0,1
2025-08-06,17.62,0,1
2025-08-07,17.73,0,1
2025-08-08,17.88,0,1
2025-08-11,17.85,0,1
2025-08-12,17.96,0,1
2025-08-13,17.86,0,1
2025-08-14,17.07,0.84,1
2025-08-15,16.93,0,1
2025-08-18,17.06,0,1
2025-08-19,16.57,0,1
2025-08-20,16.54,0,1
2025-08-21,16.51,0,1
2025-08-22,16.77,0,1
2025-08-25,16.9,0,1
2025-08-26,17.03,0,1
2025-08-27,17.04,0,1
2025-08-28,17.15,0,1
2025-08-29,16.65,0,1
2025-09-02,16.38,0,1
2025-09-03,16.38,0,1
2025-09-04,16.49,0,1
2025-09-05,16.11,0,1
2025-09-08,16.23,0,1
2025-09-09,16.43,0,1
2025-09-10,16.82,0,1
2025-09-11,16.18,0.643,1
2025-09-12,16.26,0,1
2025-09-15,16.26,0,1
2025-09-16,16.05,0,1
2025-09-17,15.65,0,1
2025-09-18,16.12,0,1
2025-09-19,16.15,0,1
2025-09-22,16.58,0,1
2025-09-23,16.28,0,1
2025-09-24,16.2,0,1
2025-09-25,16.28,0,1
2025-09-26,16.33,0,1
2025-09-29,16.57,0,1
2025-09-30,16.8,0,1
2025-10-01,16.85,0,1
2025-10-02,16.93,0,1
2025-10-03,16.84,0,1
2025-10-06,16.69,0,1
2025-10-07,16.66,0,1
2025-10-08,17.01,0,1
2025-10-09,16.47,0.795,1
2025-10-10,15.76,0,1
2025-10-13,16.17,0,1
2025-10-14,15.55,0,1
2025-10-15,15.52,0,1
2025-10-16,15.58,0.109,1
2025-10-17,15.71,0,1
2025-10-20,15.69,0,1
2025-10-21,15.63,0,1
2025-10-22,15.57,0,1
2025-10-23,15.61,0.121,1
2025-10-24,15.9,0,1
2025-10-27,16.22,0,1
2025-10-28,16.81,0,1
2025-10-29,17.21,0,1
2025-10-30,16.78,0.182,1
2025-10-31,16.74,0,1
2025-11-03,17.04,0,1
2025-11-04,16.49,0,1
2025-11-05,16.2,0,1
2025-11-06,15.35,0.319,1
2025-11-07,15.33,0,1
2025-11-10,15.95,0,1
2025-11-11,15.67,0,1
2025-11-12,15.73,0,1
2025-11-13,15.18,0.144,1
2025-11-14,15.41,0,1
2025-11-17,15.17,0,1
2025-11-18,14.79,0,1
2025-11-19,15.2,0,1
2025-11-20,14.69,0.15,1
2025-11-21,14.56,0,1
2025-11-24,14.89,0,1
2025-11-25,14.55,0,1
2025-11-26,14.74,0,1
2025-11-28,14.38,0.163,1
2025-12-01,14.58,0,1
2025-12-02,14.67,0,1
2025-12-03,14.58,0,1
2025-12-04,14.68,0.165,1
2025-12-05,14.69,0,1
2025-12-08,14.87,0,1
2025-12-09,14.84,0,1
2025-12-10,14.8,0,1
2025-12-11,14.5,0.149,1
2025-12-12,14.1,0,1
2025-12-15,14.2,0,1
2025-12-16,14.31,0,1
2025-12-17,13.83,0,1
2025-12-18,13.93,0.117,1
2025-12-19,14.35,0,1
2025-12-22,14.49,0,1
2025-12-23,14.84,0,1
2025-12-24,14.81,0,1
2025-12-26,14.8,0.116,1
2025-12-29,14.7,0,1
2025-12-30,14.66,0,1
2025-12-31,14.61,0,1
2026-01-02,14.62,0.144,1
2026-01-05,14.6,0,1
2026-01-06,14.59,0,1
2026-01-07,14.74,0,1
2026-01-08,14.37,0.105,1
2026-01-09,14.36,0,1
2026-01-12,14.36,0,1
2026-01-13,14.45,0,1
2026-01-14,14.3,0,1
2026-01-15,14.46,0.095,1
2026-01-16,14.46,0,1
2026-01-20,13.91,0,1
2026-01-21,14.33,0,1
2026-01-22,14.33,0.085,1
2026-01-23,14.5,0,1
2026-01-26,14.44,0,1
2026-01-27,14.57,0,1
2026-01-28,14.72,0,1
