Date,Close,Dividend,Split
2025-01-29,64.05,0,1
2025-01-30,66.35,0,1
2025-01-31,67.05,0,1
2025-02-03,64.05,0,1
2025-02-04,65.45,0,1
2025-02-05,63.35,0,1
2025-02-06,62.7,0,1
2025-02-07,60.95,0,1
2025-02-10,59.3,0,1
2025-02-11,55.65,0,1
2025-02-12,57.1,0,1
2025-02-13,59.9,0,1
2025-02-14,60.05,0,1
2025-02-18,60.0,0,1
2025-02-19,60.85,0,1
2025-02-20,57.55,2.895,1
2025-02-21,55.15,0,1
2025-02-24,54.4,0,1
2025-02-25,49.85,0,1
2025-02-26,48.05,0,1
2025-02-27,46.8,0,1
2025-02-28,48.35,0,1
2025-03-03,47.35,0,1
2025-03-04,45.5,0,1
2025-03-05,46.6,0,1
2025-03-06,44.2,0,1
2025-03-07,44.2,0,1
2025-03-10,37.95,0,1
2025-03-11,39.4,0,1
2025-03-12,42.2,0,1
2025-03-13,41.2,0,1
2025-03-14,42.6,0,1
2025-03-17,41.2,0,1
2025-03-18,39.3,0,1
2025-03-19,41.05,0,1
2025-03-20,38.8,2.32,1
2025-03-21,40.35,0,1
2025-03-24,43.3,0,1
2025-03-25,44.2,0,1
2025-03-26,42.6,0,1
2025-03-27,42.95,0,1
2025-03-28,41.6,0,1
2025-03-31,41.2,0,1
2025-04-01,42.45,0,1
2025-04-02,44.25,0,1
2025-04-03,42.8,0,1
2025-04-04,38.6,0,1
2025-04-07,37.95,0,1
2025-04-08,36.25,0,1
2025-04-09,42.2,0,1
2025-04-10,40.9,0,1
2025-04-11,41.4,0,1
2025-04-14,41.75,0,1
2025-04-15,42.15,0,1
2025-04-16,40.4,0,1
2025-04-17,37.0,3.3,1
2025-04-21,35.25,0,1
2025-04-22,36.5,0,1
2025-04-23,38.65,0,1
2025-04-24,39.95,0,1
2025-04-25,41.6,0,1
2025-04-28,42.1,0,1
2025-04-29,42.8,0,1
2025-04-30,41.8,0,1
2025-05-01,41.7,0,1
2025-05-02,42.8,0,1
2025-05-05,42.05,0,1
2025-05-06,41.4,0,1
2025-05-07,41.5,0,1
2025-05-08,42.85,0,1
2025-05-09,44.7,0,1
2025-05-12,46.85,0,1
2025-05-13,48.1,0,1
2025-05-14,49.45,0,1
2025-05-15,45.25,3.8,1
2025-05-16,46.2,0,1
2025-05-19,45.45,0,1
2025-05-20,45.75,0,1
2025-05-21,44.75,0,1
2025-05-22,45.6,0,1
2025-05-23,45.5,0,1
2025-05-27,47.75,0,1
2025-05-28,47.45,0,1
2025-05-29,47.7,0,1
2025-05-30,46.4,0,1
2025-06-02,46.1,0,1
2025-06-03,46.3,0,1
2025-06-04,44.8,0,1
2025-06-05,38.5,0,1
2025-06-06,40.2,0,1
2025-06-09,41.6,0,1
2025-06-10,43.35,0,1
2025-06-11,43.55,0,1
2025-06-12,40.9,2.015,1
2025-06-13,41.4,0,1
2025-06-16,41.9,0,1
2025-06-17,40.7,0,1
2025-06-18,41.45,0,1
2025-06-20,41.6,0,1
2025-06-23,43.9,0,1
2025-06-24,43.15,0,1
2025-06-25,41.75,0,1
2025-06-26,41.65,0,1
2025-06-27,41.45,0,1
2025-06-30,40.85,0,1
2025-07-01,38.75,0,1
2025-07-02,40.5,0,1
2025-07-03,40.55,0,1
2025-07-07,38.3,0,1
2025-07-08,38.8,0,1
2025-07-09,38.6,0,1
2025-07-10,38.2,1.935,1
2025-07-11,38.55,0,1
2025-07-14,38.95,0,1
2025-07-15,38.5,0,1
2025-07-16,39.4,0,1
2025-07-17,39.35,0,1
2025-07-18,40.15,0,1
2025-07-21,40.15,0,1
2025-07-22,40.4,0,1
2025-07-23,40.45,0,1
2025-07-24,37.65,0,1
2025-07-25,38.75,0,1
2025-07-28,39.55,0,1
2025-07-29,39.25,0,1
2025-07-30,39.15,0,1
2025-07-31,38.15,0,1
2025-08-01,37.6,0,1
2025-08-04,38.35,0,1
2025-08-05,38.45,0,1
2025-08-06,39.35,0,1
2025-08-07,38.1,1.505,1
2025-08-08,38.4,0,1
2025-08-11,39.25,0,1
2025-08-12,39.5,0,1
2025-08-13,39.45,0,1
2025-08-14,39.15,0,1
2025-08-15,38.7,0,1
2025-08-18,39.2,0,1
2025-08-19,38.7,0,1
2025-08-20,38.25,0,1
2025-08-21,37.8,0,1
2025-08-22,39.7,0,1
2025-08-25,40.2,0,1
2025-08-26,40.65,0,1
2025-08-27,40.55,0,1
2025-08-28,40.35,0,1
2025-08-29,39.15,0,1
2025-09-02,38.8,0,1
2025-09-03,39.4,0,1
2025-09-04,37.85,1.965,1
2025-09-05,38.65,0,1
2025-09-08,38.3,0,1
2025-09-09,38.4,0,1
2025-09-10,38.5,0,1
2025-09-11,40.15,0,1
2025-09-12,42.1,0,1
2025-09-15,43.4,0,1
2025-09-16,44.5,0,1
2025-09-17,44.85,0,1
2025-09-18,44.2,0,1
2025-09-19,45.25,0,1
2025-09-22,45.9,0,1
2025-09-23,45.35,0,1
2025-09-24,46.55,0,1
2025-09-25,45.3,0,1
2025-09-26,46.7,0,1
2025-09-29,47.0,0,1
2025-09-30,47.15,0,1
2025-10-01,48.25,0,1
2025-10-02,42.3,4.01,1
2025-10-03,41.7,0,1
2025-10-06,43.35,0,1
2025-10-07,41.9,0,1
2025-10-08,42.45,0,1
2025-10-09,42.25,0,1
2025-10-10,40.35,0,1
2025-10-13,42.35,0,1
2025-10-14,41.9,0,1
2025-10-15,42.45,0,1
2025-10-16,41.05,0.97,1
2025-10-17,41.9,0,1
2025-10-20,42.55,0,1
2025-10-21,42.25,0,1
2025-10-22,42.0,0,1
2025-10-23,42.2,0.825,1
2025-10-24,41.3,0,1
2025-10-27,42.6,0,1
2025-10-28,43.1,0,1
2025-10-29,43.2,0,1
