Date,Close,Dividend,Split
2026-01-28,35.4,0,1
2026-01-27,34.85,0,1
2026-01-26,34.96,0,1
2026-01-23,34.26,0,1
2026-01-22,34.75,0.445,1
2026-01-21,35.13,0,1
2026-01-20,35.5,0,1
2026-01-16,33.94,0,1
2026-01-15,34.01,0.577,1
2026-01-14,33.73,0,1
2026-01-13,34.89,0,1
2026-01-12,36.99,0,1
2026-01-09,37.6,0,1
2026-01-08,35.8,0.528,1
2026-01-07,37.65,0,1
2026-01-06,38.18,0,1
2026-01-05,36.67,0,1
2026-01-02,38.22,0.681,1
2025-12-31,39.66,0,1
2025-12-30,39.08,0,1
2025-12-29,38.69,0,1
2025-12-26,38.48,0.754,1
2025-12-24,39.16,0,1
2025-12-23,38.85,0,1
2025-12-22,37.65,0,1
2025-12-19,37.55,0,1
2025-12-18,38.68,0.631,1
2025-12-17,38.86,0,1
2025-12-16,37.91,0,1
2025-12-15,38.21,0,1
2025-12-12,36.42,0,1
2025-12-11,35.69,0.397,1
2025-12-10,35.85,0,1
2025-12-09,35.05,0,1
2025-12-08,35.85,0,1
2025-12-05,36.39,0,1
2025-12-04,35.03,0.644,1
2025-12-03,35.45,0,1
2025-12-02,36.95,0,1
2025-12-01,38.2,0,1
2025-11-28,37.02,0.926,1
2025-11-26,38.15,0,1
2025-11-25,38.55,0,1
2025-11-24,37.06,0,1
2025-11-21,38.44,0,1
2025-11-20,37.47,0.849,1
2025-11-19,37.57,0,1
2025-11-18,35.39,0,1
2025-11-17,36.87,0,1
2025-11-14,36.7,0,1
2025-11-13,35.19,0.82,1
2025-11-12,34.6,0,1
2025-11-11,33.74,0,1
2025-11-10,32.83,0,1
2025-11-07,32.58,0,1
2025-11-06,33.14,0.735,1
2025-11-05,32.95,0,1
2025-11-04,33.09,0,1
2025-11-03,31.78,0,1
2025-10-31,31.41,0,1
2025-10-30,31.97,0.597,1
2025-10-29,31.44,0,1
2025-10-28,31.0,0,1
2025-10-27,30.0,0,1
2025-10-24,30.53,0,1
2025-10-23,30.67,0.61,1
2025-10-22,31.19,0,1
2025-10-21,29.7,0,1
2025-10-20,30.13,0,1
2025-10-17,30.35,0,1
2025-10-16,30.88,1.468,1
2025-10-15,31.5,0,1
2025-10-14,31.08,0,1
2025-10-13,30.1,0,1
2025-10-10,30.47,0,1
2025-10-09,29.59,0,1
2025-10-08,29.16,0,1
2025-10-07,29.2,0,1
2025-10-06,27.85,0,1
2025-10-03,27.92,0,1
2025-10-02,28.0,0,1
2025-10-01,29.01,0,1
2025-09-30,30.04,0,1
2025-09-29,29.9,0,1
2025-09-26,31.11,0,1
2025-09-25,31.8,3.295,1
2025-09-24,34.45,0,1
2025-09-23,34.08,0,1
2025-09-22,33.61,0,1
2025-09-19,32.91,0,1
2025-09-18,32.47,0,1
2025-09-17,34.31,0,1
2025-09-16,33.72,0,1
2025-09-15,34.1,0,1
2025-09-12,33.78,0,1
2025-09-11,34.1,0,1
2025-09-10,34.35,0,1
2025-09-09,33.89,0,1
2025-09-08,33.87,0,1
2025-09-05,33.26,0,1
2025-09-04,33.32,0,1
2025-09-03,33.05,0,1
2025-09-02,32.16,0,1
2025-08-29,32.59,0,1
2025-08-28,32.16,2.198,1
2025-08-27,34.16,0,1
2025-08-26,33.3,0,1
2025-08-25,33.78,0,1
2025-08-22,32.67,0,1
2025-08-21,34.28,0,1
2025-08-20,33.82,0,1
2025-08-19,34.1,0,1
2025-08-18,32.56,0,1
2025-08-15,32.24,0,1
2025-08-14,32.09,0,1
2025-08-13,31.09,0,1
2025-08-12,30.76,0,1
2025-08-11,30.26,0,1
2025-08-08,30.55,0,1
2025-08-07,30.26,0,1
2025-08-06,31.72,0,1
2025-08-05,31.96,0,1
2025-08-04,31.25,0,1
2025-08-01,32.01,0,1
2025-07-31,30.87,1.655,1
2025-07-30,32.93,0,1
2025-07-29,32.77,0,1
2025-07-28,32.32,0,1
2025-07-25,32.06,0,1
2025-07-24,31.54,0,1
2025-07-23,31.75,0,1
2025-07-22,31.18,0,1
2025-07-21,31.42,0,1
2025-07-18,31.45,0,1
2025-07-17,30.35,0,1
2025-07-16,30.32,0,1
2025-07-15,30.79,0,1
2025-07-14,30.43,0,1
2025-07-11,31.5,0,1
2025-07-10,32.42,0,1
2025-07-09,32.65,0,1
2025-07-08,33.83,0,1
2025-07-07,33.91,0,1
2025-07-03,33.42,1.855,1
2025-07-02,35.53,0,1
